Detector_Type, Descriptor_Type, Frame_Range, TTC_Lidar, TTC_Camera
FAST, ORB, 13-14, 9.54557, 10.9941
FAST, ORB, 14-15, 8.62937, 10.7574
FAST, ORB, 15-16, 8.67236, 11.8801
FAST, ORB, 16-17, 11.5561, 11.1123
FAST, ORB, 17-18, 8.04705, 12.7542
,,,,
FAST, SIFT, 0-1, 13.144, 12.6784
FAST, SIFT, 1-2, 12.9549, 12.9109
FAST, SIFT, 2-3, 16.3229, 18.0819
FAST, SIFT, 3-4, 15.9883, 14.9931
FAST, SIFT, 4-5, 11.7422, -inf
FAST, SIFT, 5-6, 15.1703, 13.5252
FAST, SIFT, 6-7, 11.3822, 12.273
FAST, SIFT, 7-8, 12.9842, 12.9945
FAST, SIFT, 8-9, 13.0407, 13.6067
FAST, SIFT, 9-10, 12.4117, 13.8064
FAST, SIFT, 10-11, 11.6781, 14.9912
FAST, SIFT, 11-12, 10.5236, 11.7009
FAST, SIFT, 12-13, 9.3932, 12.7502
FAST, SIFT, 13-14, 9.54557, 11.488
FAST, SIFT, 14-15, 8.62937, 11.5166
FAST, SIFT, 15-16, 8.67236, 12.095
FAST, SIFT, 16-17, 11.5561, 7.15909
FAST, SIFT, 17-18, 8.04705, 11.0138
,,,,
SIFT, BRIEF, 0-1, 13.144, 12.5615
SIFT, BRIEF, 1-2, 12.9549, 13.616
SIFT, BRIEF, 2-3, 16.3229, 16.667
SIFT, BRIEF, 3-4, 15.9883, 20.5567
SIFT, BRIEF, 4-5, 11.7422, 14.3025
SIFT, BRIEF, 5-6, 15.1703, 11.1688
SIFT, BRIEF, 6-7, 11.3822, 14.9155
SIFT, BRIEF, 7-8, 12.9842, 15.9985
SIFT, BRIEF, 8-9, 13.0407, 15.0529
SIFT, BRIEF, 9-10, 12.4117, 11.7153
SIFT, BRIEF, 10-11, 11.6781, 14.74
SIFT, BRIEF, 11-12, 10.5236, 10.1557
SIFT, BRIEF, 12-13, 9.3932, 10.8469
SIFT, BRIEF, 13-14, 9.54557, 9.3534
SIFT, BRIEF, 14-15, 8.62937, 9.91544
SIFT, BRIEF, 15-16, 8.67236, 8.93159
SIFT, BRIEF, 16-17, 11.5561, 9.65169
SIFT, BRIEF, 17-18, 8.04705, 7.99936
,,,,
SIFT, BRISK, 0-1, 13.144, 14.1607
SIFT, BRISK, 1-2, 12.9549, 12.6526
SIFT, BRISK, 2-3, 16.3229, 15.3195
SIFT, BRISK, 3-4, 15.9883, 21.5634
SIFT, BRISK, 4-5, 11.7422, 15.9606
SIFT, BRISK, 5-6, 15.1703, 11.6616
SIFT, BRISK, 6-7, 11.3822, 16.809
SIFT, BRISK, 7-8, 12.9842, 15.7418
SIFT, BRISK, 8-9, 13.0407, 14.2427
SIFT, BRISK, 9-10, 12.4117, 12.7344
SIFT, BRISK, 10-11, 11.6781, 13.7128
SIFT, BRISK, 11-12, 10.5236, 10.1879
SIFT, BRISK, 12-13, 9.3932, 10.1399
SIFT, BRISK, 13-14, 9.54557, 9.4568
SIFT, BRISK, 14-15, 8.62937, 9.02709
SIFT, BRISK, 15-16, 8.67236, 8.80793
SIFT, BRISK, 16-17, 11.5561, 9.92299
SIFT, BRISK, 17-18, 8.04705, 9.60671
,,,,
SIFT, SIFT, 0-1, 13.144, 12.7766
SIFT, SIFT, 1-2, 12.9549, 13.4513
SIFT, SIFT, 2-3, 16.3229, 13.8308
SIFT, SIFT, 3-4, 15.9883, 21.2175
SIFT, SIFT, 4-5, 11.7422, 16.0607
SIFT, SIFT, 5-6, 15.1703, 11.3677
SIFT, SIFT, 6-7, 11.3822, 14.7194
SIFT, SIFT, 7-8, 12.9842, 16.134
SIFT, SIFT, 8-9, 13.0407, 14.1683
SIFT, SIFT, 9-10, 12.4117, 11.5483
SIFT, SIFT, 10-11, 11.6781, 12.8571
SIFT, SIFT, 11-12, 10.5236, 11.5061
SIFT, SIFT, 12-13, 9.3932, 10.0283
SIFT, SIFT, 13-14, 9.54557, 11.3337
SIFT, SIFT, 14-15, 8.62937, 9.47815
SIFT, SIFT, 15-16, 8.67236, 10.1347
SIFT, SIFT, 16-17, 11.5561, 9.40456
SIFT, SIFT, 17-18, 8.04705, 8.81862
,,,,
HARRIS, BRIEF, 0-1, 13.144, 10.9082
HARRIS, BRIEF, 1-2, 12.9549, 52.7952
HARRIS, BRIEF, 2-3, 16.3229, -80.8525
HARRIS, BRIEF, 3-4, 15.9883, 11.7693
HARRIS, BRIEF, 4-5, 11.7422, 35.3833
HARRIS, BRIEF, 5-6, 15.1703, 15.2483
HARRIS, BRIEF, 6-7, 11.3822, 35.4977
HARRIS, BRIEF, 7-8, 12.9842, 13.5704
HARRIS, BRIEF, 8-9, 13.0407, nan
HARRIS, BRIEF, 9-10, 12.4117, -inf
HARRIS, BRIEF, 10-11, 11.6781, 11.8135
HARRIS, BRIEF, 11-12, 10.5236, 11.9536
HARRIS, BRIEF, 12-13, 9.3932, 284.161
HARRIS, BRIEF, 13-14, 9.54557, 5.6061
HARRIS, BRIEF, 14-15, 8.62937, -14.7808
HARRIS, BRIEF, 15-16, 8.67236, 8.81465
HARRIS, BRIEF, 16-17, 11.5561, 12.5848
HARRIS, BRIEF, 17-18, 8.04705, -inf
,,,,
HARRIS, BRISK, 0-1, 13.144, 10.9082
HARRIS, BRISK, 1-2, 12.9549, 10.586
HARRIS, BRISK, 2-3, 16.3229, -10.295
HARRIS, BRISK, 3-4, 15.9883, 11.7693
HARRIS, BRISK, 4-5, 11.7422, -inf
HARRIS, BRISK, 5-6, 15.1703, 13.6217
HARRIS, BRISK, 6-7, 11.3822, 12.2792
HARRIS, BRISK, 7-8, 12.9842, 25.116
HARRIS, BRISK, 8-9, 13.0407, nan
HARRIS, BRISK, 9-10, 12.4117, -inf
HARRIS, BRISK, 10-11, 11.6781, 11.8135
HARRIS, BRISK, 11-12, 10.5236, 12.245
HARRIS, BRISK, 12-13, 9.3932, 25.6953
HARRIS, BRISK, 13-14, 9.54557, 7.72144
HARRIS, BRISK, 14-15, 8.62937, -12.3391
HARRIS, BRISK, 15-16, 8.67236, 6.33898
HARRIS, BRISK, 16-17, 11.5561, 12.7384
HARRIS, BRISK, 17-18, 8.04705, -inf
,,,,
HARRIS, FREAK, 0-1, 13.144, 9.74953
HARRIS, FREAK, 1-2, 12.9549, 10.586
HARRIS, FREAK, 2-3, 16.3229, -18.2644
HARRIS, FREAK, 3-4, 15.9883, 11.7693
HARRIS, FREAK, 4-5, 11.7422, 39.584
HARRIS, FREAK, 5-6, 15.1703, 13.9039
HARRIS, FREAK, 6-7, 11.3822, 14.6579
HARRIS, FREAK, 7-8, 12.9842, 13.2352
HARRIS, FREAK, 8-9, 13.0407, nan
HARRIS, FREAK, 9-10, 12.4117, 10.2931
HARRIS, FREAK, 10-11, 11.6781, 11.8135
HARRIS, FREAK, 11-12, 10.5236, 12.245
HARRIS, FREAK, 12-13, 9.3932, nan
HARRIS, FREAK, 13-14, 9.54557, 12.288
HARRIS, FREAK, 14-15, 8.62937, -25.2781
HARRIS, FREAK, 15-16, 8.67236, 6.33898
HARRIS, FREAK, 16-17, 11.5561, nan
HARRIS, FREAK, 17-18, 8.04705, nan
,,,,
HARRIS, ORB, 0-1, 13.144, 10.9082
HARRIS, ORB, 1-2, 12.9549, 52.7952
HARRIS, ORB, 2-3, 16.3229, -80.8525
HARRIS, ORB, 3-4, 15.9883, 11.7693
HARRIS, ORB, 4-5, 11.7422, 35.3833
HARRIS, ORB, 5-6, 15.1703, 14.1981
HARRIS, ORB, 6-7, 11.3822, 14.6579
HARRIS, ORB, 7-8, 12.9842, 13.5704
HARRIS, ORB, 8-9, 13.0407, nan
HARRIS, ORB, 9-10, 12.4117, 20.5862
HARRIS, ORB, 10-11, 11.6781, 11.6702
HARRIS, ORB, 11-12, 10.5236, 11.9536
HARRIS, ORB, 12-13, 9.3932, 25.6953
HARRIS, ORB, 13-14, 9.54557, 6.14381
HARRIS, ORB, 14-15, 8.62937, -14.7808
HARRIS, ORB, 15-16, 8.67236, 6.65726
HARRIS, ORB, 16-17, 11.5561, 12.7384
HARRIS, ORB, 17-18, 8.04705, -inf
,,,,
HARRIS, SIFT, 0-1, 13.144, 10.9082
HARRIS, SIFT, 1-2, 12.9549, 52.7952
HARRIS, SIFT, 2-3, 16.3229, -80.8525
HARRIS, SIFT, 3-4, 15.9883, 11.7693
HARRIS, SIFT, 4-5, 11.7422, 13.3698
HARRIS, SIFT, 5-6, 15.1703, 15.2483
HARRIS, SIFT, 6-7, 11.3822, 14.6579
HARRIS, SIFT, 7-8, 12.9842, 13.5704
HARRIS, SIFT, 8-9, 13.0407, 3.97517
HARRIS, SIFT, 9-10, 12.4117, 10.2931
HARRIS, SIFT, 10-11, 11.6781, 11.6702
HARRIS, SIFT, 11-12, 10.5236, 11.9536
HARRIS, SIFT, 12-13, 9.3932, 25.6953
HARRIS, SIFT, 13-14, 9.54557, 5.6061
HARRIS, SIFT, 14-15, 8.62937, -14.7808
HARRIS, SIFT, 15-16, 8.67236, 8.81465
HARRIS, SIFT, 16-17, 11.5561, 12.7384
HARRIS, SIFT, 17-18, 8.04705, -inf
,,,,
SHITOMASI, BRIEF, 0-1, 13.144, 14.0745
SHITOMASI, BRIEF, 1-2, 12.9549, 14.3375
SHITOMASI, BRIEF, 2-3, 16.3229, 12.4804
SHITOMASI, BRIEF, 3-4, 15.9883, 13.1228
SHITOMASI, BRIEF, 4-5, 11.7422, 12.6027
SHITOMASI, BRIEF, 5-6, 15.1703, 14.9224
SHITOMASI, BRIEF, 6-7, 11.3822, 15.8061
SHITOMASI, BRIEF, 7-8, 12.9842, 12.9174
SHITOMASI, BRIEF, 8-9, 13.0407, 11.7271
SHITOMASI, BRIEF, 9-10, 12.4117, 13.9372
SHITOMASI, BRIEF, 10-11, 11.6781, 11.3246
SHITOMASI, BRIEF, 11-12, 10.5236, 11.8126
SHITOMASI, BRIEF, 12-13, 9.3932, 12.0623
SHITOMASI, BRIEF, 13-14, 9.54557, 11.946
SHITOMASI, BRIEF, 14-15, 8.62937, 10.7552
SHITOMASI, BRIEF, 15-16, 8.67236, 12.5802
SHITOMASI, BRIEF, 16-17, 11.5561, 11.2613
SHITOMASI, BRIEF, 17-18, 8.04705, 8.99667
,,,,
SHITOMASI, BRISK, 0-1, 13.144, 13.813
SHITOMASI, BRISK, 1-2, 12.9549, 13.3067
SHITOMASI, BRISK, 2-3, 16.3229, 14.3921
SHITOMASI, BRISK, 3-4, 15.9883, 12.0479
SHITOMASI, BRISK, 4-5, 11.7422, 12.7784
SHITOMASI, BRISK, 5-6, 15.1703, 15.0278
SHITOMASI, BRISK, 6-7, 11.3822, 13.0836
SHITOMASI, BRISK, 7-8, 12.9842, 13.9097
SHITOMASI, BRISK, 8-9, 13.0407, 12.0008
SHITOMASI, BRISK, 9-10, 12.4117, 13.5741
SHITOMASI, BRISK, 10-11, 11.6781, 10.784
SHITOMASI, BRISK, 11-12, 10.5236, 12.0541
SHITOMASI, BRISK, 12-13, 9.3932, 12.0753
SHITOMASI, BRISK, 13-14, 9.54557, 11.4231
SHITOMASI, BRISK, 14-15, 8.62937, 9.16265
SHITOMASI, BRISK, 15-16, 8.67236, 10.9093
SHITOMASI, BRISK, 16-17, 11.5561, 12.6391
SHITOMASI, BRISK, 17-18, 8.04705, 10.7183
,,,,
SHITOMASI, FREAK, 0-1, 13.144, 13.1788
SHITOMASI, FREAK, 1-2, 12.9549, 12.5187
SHITOMASI, FREAK, 2-3, 16.3229, 14.0685
SHITOMASI, FREAK, 3-4, 15.9883, 12.0938
SHITOMASI, FREAK, 4-5, 11.7422, 12.7503
SHITOMASI, FREAK, 5-6, 15.1703, 14.6341
SHITOMASI, FREAK, 6-7, 11.3822, 13.1698
SHITOMASI, FREAK, 7-8, 12.9842, 13.2343
SHITOMASI, FREAK, 8-9, 13.0407, 12.1821
SHITOMASI, FREAK, 9-10, 12.4117, 13.2878
SHITOMASI, FREAK, 10-11, 11.6781, 11.037
SHITOMASI, FREAK, 11-12, 10.5236, 11.8181
SHITOMASI, FREAK, 12-13, 9.3932, 12.694
SHITOMASI, FREAK, 13-14, 9.54557, 11.6524
SHITOMASI, FREAK, 14-15, 8.62937, 10.2592
SHITOMASI, FREAK, 15-16, 8.67236, 11.8275
SHITOMASI, FREAK, 16-17, 11.5561, 12.6793
SHITOMASI, FREAK, 17-18, 8.04705, 10.3394
,,,,
SHITOMASI, ORB, 0-1, 13.144, 13.1872
SHITOMASI, ORB, 1-2, 12.9549, 13.4468
SHITOMASI, ORB, 2-3, 16.3229, 14.3496
SHITOMASI, ORB, 3-4, 15.9883, 12.398
SHITOMASI, ORB, 4-5, 11.7422, 12.5939
SHITOMASI, ORB, 5-6, 15.1703, 14.6505
SHITOMASI, ORB, 6-7, 11.3822, 12.0224
SHITOMASI, ORB, 7-8, 12.9842, 14.7361
SHITOMASI, ORB, 8-9, 13.0407, 12.0207
SHITOMASI, ORB, 9-10, 12.4117, 13.5009
SHITOMASI, ORB, 10-11, 11.6781, 10.784
SHITOMASI, ORB, 11-12, 10.5236, 11.7391
SHITOMASI, ORB, 12-13, 9.3932, 12.4891
SHITOMASI, ORB, 13-14, 9.54557, 11.8034
SHITOMASI, ORB, 14-15, 8.62937, 11.1203
SHITOMASI, ORB, 15-16, 8.67236, 12.1867
SHITOMASI, ORB, 16-17, 11.5561, 12.3667
SHITOMASI, ORB, 17-18, 8.04705, 8.41494
,,,,
SHITOMASI, SIFT, 0-1, 13.144, 14.1064
SHITOMASI, SIFT, 1-2, 12.9549, 13.3275
SHITOMASI, SIFT, 2-3, 16.3229, 13.2474
SHITOMASI, SIFT, 3-4, 15.9883, 12.1506
SHITOMASI, SIFT, 4-5, 11.7422, 12.3765
SHITOMASI, SIFT, 5-6, 15.1703, 14.7141
SHITOMASI, SIFT, 6-7, 11.3822, 13.0229
SHITOMASI, SIFT, 7-8, 12.9842, 13.397
SHITOMASI, SIFT, 8-9, 13.0407, 12.0207
SHITOMASI, SIFT, 9-10, 12.4117, 13.5741
SHITOMASI, SIFT, 10-11, 11.6781, 11.4314
SHITOMASI, SIFT, 11-12, 10.5236, 11.6823
SHITOMASI, SIFT, 12-13, 9.3932, 11.7136
SHITOMASI, SIFT, 13-14, 9.54557, 11.6421
SHITOMASI, SIFT, 14-15, 8.62937, 10.6921
SHITOMASI, SIFT, 15-16, 8.67236, 11.7152
SHITOMASI, SIFT, 16-17, 11.5561, 10.9456
SHITOMASI, SIFT, 17-18, 8.04705, 9.73863
